Name,Context,ID
치미치미,맛있는데 가격까지 싼 가성비 부리또 맛집!,0
신의 한컵,주문 받는 대로 사장님이 볶아주시는 컵밥집! 꽤 자극 적인 맛이라 아래 단계부터 하나씩 올라가는 걸 추천해요.,1
더맘,계란후라이도 원하는 만큼 먹을 수 있고 아이스크림도 무료인 가성비 최고의 돈까스 맛집!,2
화리화리,쭈꾸미랑 제육 파는데 불맛이 매우 강하지만 정말 맛있는 음식점이에요. 매운 맛은 정말 매우니까 조심하세요!,3
디왈리,현지인 사장님이 운영하시는 인도 음식점! 특히 밀크티 강추!,4
이삭 토스트,그냥 ISSAC,5
